biosimilar_brand_name,biosimilar_generic_name,reference_brand,reference_generic,ct_studies,month_year,hover_text,more_info
Avsola,infliximab-axxq,Remicade,infliximab,2.32258064516129,2019-12-06,"<b>Brand: </b>Avsola<br><b>Generic: </b>infliximab-axxq<br><b>Approval date: </b>December 06, 2019",Avsola Information
Abrilada,adalimumab-afzb,Humira,adalimumab,2.86666666666667,2019-11-15,"<b>Brand: </b>Abrilada<br><b>Generic: </b>adalimumab-afzb<br><b>Approval date: </b>November 15, 2019",Abrilada Information
Ziextenzo,pegfilgrastim-bmez,Neulasta,pegfilgrastim,0.2,2019-11-04,"<b>Brand: </b>Ziextenzo<br><b>Generic: </b>pegfilgrastim-bmez<br><b>Approval date: </b>November 04, 2019",Ziextenzo Information
Hadlima,adalimumab-bwwd,Humira,adalimumab,2.29032258064516,2019-07-23,"<b>Brand: </b>Hadlima<br><b>Generic: </b>adalimumab-bwwd<br><b>Approval date: </b>July 23, 2019",Hadlima Information
Ruxience,rituximab-pvvr,Rituxan,rituximab,14.4193548387097,2019-07-23,"<b>Brand: </b>Ruxience<br><b>Generic: </b>rituximab-pvvr<br><b>Approval date: </b>July 23, 2019",Ruxience Information
Zirabev,bevacizumab-bvzr,Avastin,bevacizumab,10,2019-06-27,"<b>Brand: </b>Zirabev<br><b>Generic: </b>bevacizumab-bvzr<br><b>Approval date: </b>June 27, 2019",Zirabev Information
Kanjinti,trastuzumab-anns,Herceptin,trastuzumab,7.4,2019-06-13,"<b>Brand: </b>Kanjinti<br><b>Generic: </b>trastuzumab-anns<br><b>Approval date: </b>June 13, 2019",Kanjinti Information 
Eticovo,etanercept-ykro,Enbrel,etanercept,2.6,2019-04-25,"<b>Brand: </b>Eticovo<br><b>Generic: </b>etanercept-ykro<br><b>Approval date: </b>April 25, 2019",Eticovo Information
Trazimera,trastuzumab-qyyp,Herceptin,trastuzumab,7.67741935483871,2019-03-11,"<b>Brand: </b>Trazimera<br><b>Generic: </b>trastuzumab-qyyp<br><b>Approval date: </b>March 11, 2019",Trazimera Information
Ontruzant,trastuzumab-dttb,Herceptin,trastuzumab,7.41935483870968,2019-01-18,"<b>Brand: </b>Ontruzant<br><b>Generic: </b>trastuzumab-dttb<br><b>Approval date: </b>January 18, 2019",Ontruzant Information
Herzuma,trastuzumab-pkrb,Herceptin,trastuzumab,9.93548387096774,2018-12-14,"<b>Brand: </b>Herzuma<br><b>Generic: </b>trastuzumab-pkrb<br><b>Approval date: </b>December 14, 2018",Herzuma Information 
Truxima,rituximab-abbs,Rituxan,rituximab,8.8,2018-11-28,"<b>Brand: </b>Truxima<br><b>Generic: </b>rituximab-abbs<br><b>Approval date: </b>November 28, 2018",Truxima Information Press Release: FDA approves first biosimilar for treatment of adult patients with non-Hodgkin’s lymphoma
Udenyca,pegfilgrastim-cbqv,Neulasta,pegfilgrastim,0,2018-11-02,"<b>Brand: </b>Udenyca<br><b>Generic: </b>pegfilgrastim-cbqv<br><b>Approval date: </b>November 02, 2018",Udenyca Information 
Hyrimoz,adalimumab-adaz,Humira,adalimumab,1,2018-10-30,"<b>Brand: </b>Hyrimoz<br><b>Generic: </b>adalimumab-adaz<br><b>Approval date: </b>October 30, 2018",Hyrimoz Information
Nivestym,filgrastim-aafi,Neupogen,filgrastim,3.61290322580645,2018-07-20,"<b>Brand: </b>Nivestym<br><b>Generic: </b>filgrastim-aafi<br><b>Approval date: </b>July 20, 2018",Nivestym Information
Fulphila,pegfilgrastim-jmdb,Neulasta,pegfilgrastim,1.9,2018-06-04,"<b>Brand: </b>Fulphila<br><b>Generic: </b>pegfilgrastim-jmdb<br><b>Approval date: </b>June 04, 2018",Fulphila Information Press Release: FDA approves first biosimilar to Neulasta to help reduce the risk   of infection during cancer treatment
Retacrit,epoetin alfa-epbx,Epogen,epoetin-alfa,1,2018-05-15,"<b>Brand: </b>Retacrit<br><b>Generic: </b>epoetin alfa-epbx<br><b>Approval date: </b>May 15, 2018",Retacrit information Press Release: FDA approves first epoetin alfa biosimilar for the treatment of anemia
Ixifi,infliximab-qbtx,Remicade,infliximab,1.7741935483871,2017-12-13,"<b>Brand: </b>Ixifi<br><b>Generic: </b>infliximab-qbtx<br><b>Approval date: </b>December 13, 2017",Ixifi information
Ogivri,trastuzumab-dkst,Herceptin,trastuzumab,7,2017-12-01,"<b>Brand: </b>Ogivri<br><b>Generic: </b>trastuzumab-dkst<br><b>Approval date: </b>December 01, 2017",Ogivri information Press Release: FDA approves first biosimilar for the treatment of certain breast and stomach cancers
Mvasi,Bevacizumab-awwb,Avastin,bevacizumab,10,2017-09-14,"<b>Brand: </b>Mvasi<br><b>Generic: </b>Bevacizumab-awwb<br><b>Approval date: </b>September 14, 2017",Mvasi information Press Release: FDA approves first biosimilar for the treatment of cancer
Cyltezo,Adalimumab-adbm,Humira,adalimumab,3.32258064516129,2017-08-25,"<b>Brand: </b>Cyltezo<br><b>Generic: </b>Adalimumab-adbm<br><b>Approval date: </b>August 25, 2017",Cyltezo information  
Renflexis,Infliximab-abda,Remicade,infliximab,2.33333333333333,2017-04-21,"<b>Brand: </b>Renflexis<br><b>Generic: </b>Infliximab-abda<br><b>Approval date: </b>April 21, 2017",Renflexis information
Amjevita,Adalimumab -atto,Humira,adalimumab,5.33333333333333,2016-09-23,"<b>Brand: </b>Amjevita<br><b>Generic: </b>Adalimumab -atto<br><b>Approval date: </b>September 23, 2016",Amjevita information Press Release: FDA approves Amjevita
Erelzi,Etanercept-szzs,Enbrel,etanercept,1,2016-09-23,"<b>Brand: </b>Erelzi<br><b>Generic: </b>Etanercept-szzs<br><b>Approval date: </b>September 23, 2016",Erelzi information Press Release: FDA approves Erelzi
Inflectra,Infliximab-dyyb,Remicade,infliximab,2.86666666666667,2016-04-05,"<b>Brand: </b>Inflectra<br><b>Generic: </b>Infliximab-dyyb<br><b>Approval date: </b>April 05, 2016",Inflectra information Press Release: FDA approves Inflectra
Zarxio,Filgrastim-sndz,Neupogen,filgrastim,6.19354838709677,2015-03-06,"<b>Brand: </b>Zarxio<br><b>Generic: </b>Filgrastim-sndz<br><b>Approval date: </b>March 06, 2015",Zarxio information Press Release: FDA approves first biosimilar
